unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1747441201,21680.8,930.8,150,30.8,0,1.9,,0,0,0,3.1,3.2,3.2,3.2,40.9,24.6,33,1,1,2
1747441801,20311.5,907.7,142.3,26.9,1.9,0,,0,0,0,3.2,3.7,4.1,4.2,40.8,24.6,33,1,2,4
1747442401,19996.2,934.6,159.6,28.8,0,0,,0,0,0,3,3.3,3.4,3.5,40.7,24.6,34,1,2,4
1747443001,19119.2,913.5,98.1,15.4,0,0,,0,0,0,2.8,3,3,3,40.7,24.6,35,1,,
1747443601,18398.1,807.7,126.9,30.8,0,0,,0,0,0,2.3,2.4,2.4,2.4,40.6,24.6,33,1,1,2
1747444201,17923.1,775,117.3,13.5,0,0,,0,0,0,2.4,2.6,2.7,2.7,40.5,24.6,32,1,1,2
1747444801,17684.6,759.6,161.5,28.8,0,0,,0,0,0,2.9,3.1,3.1,3.1,40.4,24.6,34,1,1,2
1747445401,16775,719.2,134.6,30.8,0,0,,0,0,0,2.4,2.5,2.5,2.5,40.4,24.6,32,1,1,2
1747446001,15703.8,707.7,101.9,23.1,0,0,,0,0,0,2.2,2.6,2.9,3,40.3,24.5,33,1,1,2
1747446601,15178.8,594.2,136.5,34.6,7.7,0,,0,0,0,2.5,2.6,2.6,2.6,40.2,24.5,34,1,2,4
1747447201,14469.2,644.2,125,23.1,0,0,,0,0,0,2.3,2.4,2.4,2.4,40.1,24.5,32,1,1,2
1747447801,14501.9,576.9,103.8,21.2,0,0,,0,0,0,1.9,2.1,2.2,2.3,40,24.5,33,1,1,2
1747448401,14003.8,576.9,101.9,11.5,1.9,0,,0,0,0,1.7,1.8,1.8,1.8,40,24.5,33,1,1,2
1747449001,13678.8,598.1,111.5,25,0,0,,0,0,0,1.9,2,2,2,39.9,24.5,32,1,1,2
1747449601,13117.3,586.5,100,15.4,3.8,0,,0,0,0,1.8,1.9,1.9,1.9,39.8,24.5,32,1,1,2
1747450201,12601.9,553.8,98.1,28.8,0,0,,0,0,0,2.1,2.2,2.2,2.2,39.7,24.5,32,1,1,2
1747450801,12407.7,492.3,92.3,15.4,0,0,,0,0,0,1.7,1.8,1.8,1.8,39.6,24.5,32,1,1,2
1747451401,12309.6,538.5,59.6,13.5,0,0,,0,0,0,1.8,1.9,1.9,1.9,39.6,24.5,33,1,1,2
1747452001,12315.4,484.6,71.2,19.2,0,0,,0,0,0,1.6,1.7,1.7,1.7,39.5,24.5,32,1,1,2
1747452601,12286.5,594.2,96.2,15.4,1.9,0,,0,0,0,1.9,2,2,2,39.5,24.5,31,1,1,2
1747453201,11969.2,438.5,73.1,9.6,0,0,,0,0,0,1.6,1.7,1.7,1.7,39.3,24.5,32,1,1,2
1747453801,11932.7,459.6,63.5,11.5,0,0,,0,0,0,1.8,2.1,2.3,2.4,39.2,24.5,32,1,1,2
1747454401,12138.5,555.8,109.6,19.2,0,0,,0,0,0,1.9,2.1,2.2,2.3,39.2,24.5,32,1,1,2
1747455001,11965.4,519.2,73.1,23.1,0,0,,0,0,0,1.6,1.9,2.1,2.1,39.1,24.5,32,1,1,2
1747455601,12353.8,448.1,50,11.5,1.9,0,,0,0,0,2,2.1,2.1,2.1,39.1,24.5,32,1,1,2
1747456201,12346.2,496.2,76.9,15.4,0,0,,0,0,0,1.7,1.8,1.8,1.8,39,24.5,32,1,1,2
1747456801,12284.6,494.2,140.4,100,38.5,0,,0,0,0,2,2.1,2.1,2.1,39,24.5,33,1,1,2
1747457401,12813.5,605.8,282.7,442.3,117.3,25,,0,0,0,2.6,2.7,2.7,2.7,38.9,24.5,32,1,4,6
1747458001,13034.6,615.4,271.2,313.5,86.5,13.5,,0,0,0,2.1,2.3,2.4,2.4,38.7,24.5,32,1,2,4
1747458601,13376.9,603.8,265.4,280.8,48.1,0,,0,0,0,2.2,2.4,2.5,2.5,38.7,24.5,33,1,3,5
1747459201,15578.8,717.3,300,273.1,30.8,1.9,,0,0,0,2.8,2.9,2.9,2.9,38.2,24.4,31,1,3,5
1747459801,19021.2,805.8,286.5,205.8,25,1.9,,0,0,0,3.8,4,4,4,37.5,24.4,30,1,2,4
1747460401,21830.8,1005.8,269.2,159.6,32.7,3.8,,0,0,0,3.4,3.6,3.6,3.6,36.8,24.4,31,1,3,5
1747461001,22996.2,1003.8,246.2,130.8,23.1,5.8,,0,0,0,3.7,3.9,3.9,3.9,36.9,24.4,31,1,3,5
1747461601,25094.2,1078.8,246.2,153.8,23.1,7.7,,0,0,0,3.8,4,4,4,35.5,24.3,31,1,3,5
1747462201,25301.9,1126.9,321.2,176.9,30.8,3.8,,0,0,0,4.2,4.4,4.4,4.4,35.6,24.2,30,1,3,5
1747462801,26471.2,1176.9,344.2,205.8,28.8,5.8,,0,0,0,4.3,4.6,4.6,4.6,36,24.2,30,1,5,8
1747463401,28536.5,1182.7,365.4,248.1,19.2,5.8,,0,0,0,4.3,4.5,4.5,4.5,36,24.2,28,1,4,6
1747464001,30130.8,1350,369.2,240.4,34.6,7.7,,0,0,0,4.7,4.9,4.9,4.9,36,24.2,31,1,3,5
1747464601,30742.3,1392.3,321.2,182.7,15.4,1.9,,0,0,0,4.8,5.1,5.1,5.1,35.8,24.2,31,1,4,6
1747465201,29621.2,1246.2,280.8,188.5,15.4,1.9,,0,0,0,4.9,5.1,5.1,5.1,35.9,24.2,30,1,4,6
1747465801,28780.8,1269.2,344.2,190.4,17.3,13.5,,0,0,0,4.3,4.5,4.5,4.5,37.9,24.2,30,1,3,5
1747466401,30001.9,1163.5,361.5,255.8,32.7,11.5,,0,0,0,4.4,4.6,4.6,4.6,37.9,24.4,31,1,5,8
